kitchen,baseline_total_cups,conditional_target_total_cups,baseline_core_cups,conditional_target_core_cups,net_extra_cups_per_day,extra_core_cups_per_day
BKK_Ladprao,6166.074654352068,7118.409420882419,5082.859764842064,6378.98900487679,31.744492217678363,43.20430800115755
BKK_Sukhumvit,10231.182145050885,11790.905420794074,8387.97189898636,10526.90473322788,51.99077585810628,71.29776114138403
Pattaya_Beach,11672.68421024703,13393.493766089563,9399.075171614368,11795.839340376031,57.36031852808446,79.89213895872211
Pattaya_Central,13744.040322986853,15876.582142669165,11213.199622414102,14072.565526129696,71.08472732274373,95.31219679051979
