scenario,operating_result_thb,gap_to_zero_thb
All proposed targets achieved,354.26026234356686,0.0
Only half of incremental core sales achieved,-95744.90810444369,95744.90810444369
No November core-growth release; other targets achieved,-136498.61066700367,136498.61066700367
No fixed-cost savings achieved,-234145.73973765643,234145.73973765643
No procurement savings achieved,-54738.00329418783,54738.00329418783
No additional core price uplift achieved,-156680.19063671824,156680.19063671824
Waste rate stays at baseline,-26140.93079453736,26140.93079453736
All planned sales 10 percent lower; prep adjusts,-181231.16576389078,181231.16576389078
