step,increment_thb,result_thb
Released base forecast,0.0,-777292.7226433158
standard_price_recovery,98891.10328371217,-678401.6193596036
waste_rate_reduction,45504.25610903208,-632897.3632505715
berry_retention,61124.96020323387,-571772.4030473377
core_price_uplift,136101.65862693498,-435670.7444204027
fruit_cost_reduction,49326.66794917174,-386344.07647123095
overhead_reduction,234500.0,-151844.07647123095
core_net_growth,192198.3367335745,40354.26026234357
implementation_cost_thb,-40000.0,354.26026234356686
