month,historical_total_cups_2025,historical_core_cups_2025,historical_total_mom_growth,historical_core_mom_growth,baseline_forecast_total_cups_2026,baseline_forecast_core_cups_2026,conditional_target_total_cups_2026,conditional_target_core_cups_2026,conditional_target_total_mom_growth,conditional_target_core_mom_growth
9,39740,34320,,,41813.98133263684,34083.10645785689,40651.08996815928,34083.10645785689,,
10,40606,35067,0.021791645697030626,0.02176573426573425,43207.780710391395,35219.21000645212,44326.392891116324,38741.13100709734,0.09041093180615323,0.13666666666666694
11,46072,39558,0.13461064867260997,0.1280691248182051,41813.98133263684,34083.10645785689,48179.39075043522,42774.2986046104,0.08692333411345765,0.10410557184750702
