scenario,month,forecast_units,revenue_thb,sold_fruit_cost_thb,sold_packaging_cost_thb,sold_labor_cost_thb,commission_thb,product_margin_thb,contribution_before_waste_thb,expected_waste_units,waste_cost_thb,contribution_after_waste_thb,prep_target_cups,fixed_overhead_thb,modeled_operating_result_thb,contribution_after_waste_margin_pct,operating_margin_pct,scenario_display
base,2026-09-01,41399.990666318416,2086183.1098585252,571238.3165691042,252925.72672686563,220233.88495231964,566483.0386268632,1041785.1816102357,475302.14298337256,2499.61138654483,72207.28858198227,403094.8544013903,43899.60205286325,670000.0,-266905.1455986097,0.19322122420439222,-0.12793946242653162,Base case
base,2026-10-01,42803.8903551957,2157028.137006974,590742.533454741,261505.6509510945,227701.2144507303,585717.5929195341,1077078.738150408,491361.14523087407,2584.595929877215,74684.65089079099,416676.49434008304,45388.48628507291,670000.0,-253323.50565991696,0.19317156192419938,-0.11744098341314217,Base case
base,2026-11-01,41600.990666318416,2096291.685033927,574037.0140691042,254160.72672686563,221295.88495231964,569221.3190864697,1046798.0592856375,477576.74019916775,2511.2840826136426,72580.66117541143,404996.0790237563,44112.27474893206,670000.0,-265003.9209762437,0.19319643440612214,-0.1264155760709201,Base case
downside,2026-09-01,32623.347296975317,1634100.9693828395,459968.98831297073,198912.11724475096,173037.57655492757,443699.8345520563,802182.2872701902,358482.4527181339,2466.369444893193,73279.09917569971,285203.35354243417,35089.71674186851,670000.0,-384796.64645756583,0.17453227119138703,-0.23547911277654662,Downside case
downside,2026-10-01,33729.9921438507,1689604.7643018602,475672.2581711885,205661.69243168566,178906.31990782084,458768.39755666966,829364.4937911651,370596.0962344954,2550.225033200064,75793.70382133826,294802.39241315715,36280.21717705076,670000.0,-375197.60758684285,0.17448009063526088,-0.2220623518079824,Downside case
downside,2026-11-01,32782.587090515946,1642045.2251447847,462222.66956685,199887.88154434538,173875.8479784831,445851.72391191457,806058.8260551062,360207.1021431917,2477.867077165048,73657.83223434637,286549.2699088453,35260.454167681,670000.0,-383450.7300911547,0.1745075382339602,-0.23352020043013405,Downside case
price_and_waste_action,2026-09-01,41399.990666318416,2139217.790808353,571238.3165691042,252925.72672686563,220233.88495231964,580888.884491539,1094819.8625600636,513930.97806852474,1825.9580170871309,52085.756722000835,461845.2213465239,43225.94868340555,670000.0,-208154.7786534761,0.2158944373644186,-0.09730415460635262,RC000-price + Waste action case
price_and_waste_action,2026-10-01,42803.8903551957,2211865.950501965,590742.533454741,261505.6509510945,227701.2144507303,600613.1632478859,1131916.551645399,531303.3883975132,1888.0173631280102,53871.81283238509,477431.5755651281,44691.90771832371,670000.0,-192568.42443487188,0.21585014022064897,-0.08706152576342614,RC000-price + Waste action case
price_and_waste_action,2026-11-01,41600.990666318416,2149580.790808353,574037.0140691042,254160.72672686563,221295.88495231964,583696.1174300333,1100087.1650600636,516391.04763003037,1834.4546734778548,52353.45032894379,464037.5973010866,43435.44533979627,670000.0,-205962.4026989134,0.2158735318464511,-0.09581514850691467,RC000-price + Waste action case
